Ticker	Yearly Change	Percentage Charge	Stock Volume	Quote at BoY	Quote at EoY	LTM_Max	LTM_Min			Ticker	Value
XOM	-14.5	-15.68%	 3,550,930,500 	92.45	77.95	93.37	68.71				
XON	2.62	9.52%	 415,383,000 	27.53	30.15	68.71	26.08				
XOXO	-2.15	-11.81%	 24,307,300 	18.21	16.06	18.21	13.87				
XPO	-13.63	-33.34%	 359,425,100 	40.88	27.25	50.56	21.62				
XRM	-3.93	-24.90%	 11,151,500 	15.78	11.85	18.73	10.4				
XRS	18.38	65.43%	 121,199,100 	28.09	46.47	48.49	26.2				
XRX	-3.23	-23.30%	 2,658,582,400 	13.86	10.63	14	9.29				
XTLY	-0.17	-1.95%	 18,671,300 	8.7	8.53	10.31	6.56				
XYL	-1.57	-4.12%	 286,843,200 	38.07	36.5	38.08	30.46				
Y	14.43	3.11%	 14,608,800 	463.5	477.93	515.25	440.61				
YDKN	5.52	28.09%	 24,467,300 	19.65	25.17	26.94	18.07				
YELP	-25.93	-47.38%	 880,142,100 	54.73	28.8	57.47	20.87				
YGE	-18.97	-80.72%	 437,094,200 	23.5	4.53	24.2	3.3				
YPF	-10.75	-40.61%	 328,304,200 	26.47	15.72	31.58	14.91				
YRD	0.35	3.85%	 7,627,500 	9.1	9.45	9.95	9.1				
YUM	0.2	0.27%	 1,030,359,900 	72.85	73.05	94.88	67.12				
YUME	-1.53	-30.36%	 37,170,300 	5.04	3.51	6.1	2.45				
YZC	-3.85	-45.67%	 21,847,900 	8.43	4.58	12.23	4.24				
ZAYO	-3.98	-13.02%	 256,466,600 	30.57	26.59	30.67	22.81				
ZB-A	0.53	2.47%	 847,300 	21.46	21.99	23.6	20.98				
ZB-F	-0.39	-1.44%	 2,725,200 	27.17	26.78	28.79	26.55				
ZB-G	0.24	0.93%	 3,276,500 	25.89	26.13	27.42	25.31				
ZB-H	0.56	2.30%	 3,701,100 	24.31	24.87	25.09	23.15				
ZBH	-6.7	-6.13%	 166,602,100 	109.29	102.59	109.77	92.41				
ZBK	1.37	5.00%	 1,429,100 	27.39	28.76	28.76	26.6				
ZEN	2.07	8.49%	 162,237,400 	24.37	26.44	27.33	19.15				
ZF	-2.32	-15.01%	 12,951,300 	15.46	13.14	15.83	12.6				
ZFC	-2.17	-12.58%	 6,065,500 	17.25	15.08	18.2	13.24				
ZNH	14.25	59.62%	 22,641,000 	23.9	38.15	63.29	22.52				
ZOES	-1.93	-6.45%	 119,611,900 	29.91	27.98	45.6	27.3				
ZPIN	0.14	0.92%	 29,891,800 	15.18	15.32	16.95	11.84				
ZTR	-1.83	-13.06%	 19,215,900 	14.01	12.18	14.05	11.32				
ZTS	4.89	11.36%	 870,003,400 	43.03	47.92	55.38	39.65				
ZX	-0.64	-44.76%	 3,333,800 	1.43	0.79	1.43	0.68				
